0:一	-1:一
3:至るまで	5:つけてくれないのでも
4:名前さえ	5:つけてくれないのでも
5:つけてくれないのでも	6:分る
6:分る	-1:分る

0:吾輩は	2:ないから
1:仕方が	2:ないから
2:ないから	11:つとめた
3:出来得る	4:限り
4:限り	6:入れてくれた
5:吾輩を	6:入れてくれた
6:入れてくれた	7:主人の
7:主人の	8:傍に
8:傍に	9:いる
9:いる	10:事を
10:事を	11:つとめた
11:つとめた	-1:つとめた

0:朝主人が	2:読む
1:新聞を	2:読む
2:読む	3:ときは
3:ときは	8:乗る
4:必ず	8:乗る
5:彼の	6:膝の
6:膝の	7:上に
7:上に	8:乗る
8:乗る	-1:乗る

0:彼が	2:する
1:昼寝を	2:する
2:する	3:ときは
3:ときは	7:乗る
4:必ず	7:乗る
5:その	6:背中に
6:背中に	7:乗る
7:乗る	-1:乗る

0:これは	8:やむを得んのである
1:あながち	3:好きという
2:主人が	3:好きという
3:好きという	4:訳ではないが
4:訳ではないが	7:なかったから
5:別に	7:なかったから
6:構い手が	7:なかったから
7:なかったから	8:やむを得んのである
8:やむを得んのである	-1:やむを得んのである

0:その後	16:した
1:いろいろ	16:した
2:経験の	3:上
3:上	16:した
4:朝は	16:した
5:飯櫃の	6:上
6:上	16:した
7:夜は	16:した
8:炬燵の	9:上
9:上	16:した
10:天気の	11:よい
11:よい	12:昼は
12:昼は	16:した
13:椽側へ	14:寝る
14:寝る	15:事と
15:事と	16:した
16:した	-1:した

0:しかし	13:事である
1:一番	3:好いのは
2:心持の	3:好いのは
3:好いのは	13:事である
4:夜に	5:入って
5:入って	12:ねる
6:ここの	7:うちの
7:うちの	8:小供の
8:小供の	9:寝床へ
9:寝床へ	10:もぐり込んで
10:もぐり込んで	12:ねる
11:いっしょに	12:ねる
12:ねる	13:事である
13:事である	-1:事である

0:この	1:小供というのは
1:小供というのは	10:寝る
2:五つと	3:三つで
3:三つで	5:なると
4:夜に	5:なると
5:なると	10:寝る
6:二人が	8:入って
7:一つ床へ	8:入って
8:入って	10:寝る
9:一間へ	10:寝る
10:寝る	-1:寝る

0:吾輩は	10:割り込むのであるが
1:いつでも	7:見出して
2:彼等の	3:中間に
3:中間に	7:見出して
4:己れを	7:見出して
5:容るべき	6:余地を
6:余地を	7:見出して
7:見出して	10:割り込むのであるが
8:どうにか	10:割り込むのであるが
9:こうにか	10:割り込むのであるが
10:割り込むのであるが	18:なる
11:運悪く	15:醒ますが
12:小供の	13:一人が
13:一人が	15:醒ますが
14:眼を	15:醒ますが
15:醒ますが	18:なる
16:最後大変な	17:事に
17:事に	18:なる
18:なる	-1:なる

0:小供は——	14:泣き出すのである
1:ことに	2:小さい
2:小さい	3:方が
3:方が	6:来た
4:質が	6:来た
5:わるい——猫が	6:来た
6:来た	7:猫が
7:猫が	8:来たと
8:来たと	9:いって
9:いって	14:泣き出すのである
10:夜中でも	14:泣き出すのである
11:何でも	14:泣き出すのである
12:大きな	13:声で
13:声で	14:泣き出すのである
14:泣き出すのである	-1:泣き出すのである

0:すると	9:飛び出してくる
1:例の	2:神経胃弱性の
2:神経胃弱性の	3:主人は
3:主人は	9:飛び出してくる
4:必ず	6:さまして
5:眼を	6:さまして
6:さまして	9:飛び出してくる
7:次の	8:部屋から
8:部屋から	9:飛び出してくる
9:飛び出してくる	-1:飛び出してくる

0:現に	4:叩かれた
1:せんだってなどは	4:叩かれた
2:物指で	4:叩かれた
3:尻ぺたをひどく	4:叩かれた
4:叩かれた	-1:叩かれた

0:吾輩は	10:断言せざるを得ないようになった
1:人間と	2:同居して
2:同居して	4:観察すれば
3:彼等を	4:観察すれば
4:観察すれば	5:する
5:する	6:ほど
6:ほど	10:断言せざるを得ないようになった
7:彼等は	10:断言せざるを得ないようになった
8:我儘な	9:ものだと
9:ものだと	10:断言せざるを得ないようになった
10:断言せざるを得ないようになった	-1:断言せざるを得ないようになった

0:ことに	6:至っては
1:吾輩が	3:同衾する
2:時々	3:同衾する
3:同衾する	4:小供の
4:小供の	5:ごときに
5:ごときに	6:至っては
6:至っては	7:言語同断である
7:言語同断である	-1:言語同断である

0:自分の	2:時は
1:勝手な	2:時は
2:時は	12:押し込んだりする
3:人を	5:したり
4:逆さに	5:したり
5:したり	8:かぶせたり
6:頭へ	8:かぶせたり
7:袋を	8:かぶせたり
8:かぶせたり	9:抛り出したり
9:抛り出したり	12:押し込んだりする
10:へっついの	11:中へ
11:中へ	12:押し込んだりする
12:押し込んだりする	-1:押し込んだりする

0:しかも	9:加える
1:吾輩の	2:方で
2:方で	5:しようものなら
3:少しでも	5:しようものなら
4:手出しを	5:しようものなら
5:しようものなら	9:加える
6:家内総がかりで	7:追い廻して
7:追い廻して	9:加える
8:迫害を	9:加える
9:加える	-1:加える

0:この間も	4:磨いだら
1:ちょっと	4:磨いだら
2:畳で	4:磨いだら
3:爪を	4:磨いだら
4:磨いだら	11:入れない
5:細君が	7:怒って
6:非常に	7:怒って
7:怒って	11:入れない
8:それから	11:入れない
9:容易に	11:入れない
10:座敷へ	11:入れない
11:入れない	-1:入れない

0:台所の	1:板の間で
1:板の間で	3:顫えていても
2:他が	3:顫えていても
3:顫えていても	6:ものである
4:一向	5:平気な
5:平気な	6:ものである
6:ものである	-1:ものである

0:吾輩の	1:尊敬する
1:尊敬する	2:筋向の
2:筋向の	3:白君などは
3:白君などは	12:るる
4:逢う	5:度毎に
5:度毎に	9:ないと
6:人間ほど	9:ないと
7:不人情な	8:ものは
8:ものは	9:ないと
9:ないと	10:言って
10:言って	12:るる
11:おら	12:るる
12:るる	-1:るる

0:白君は	4:産まれたのである
1:先日玉のような	2:子猫を
2:子猫を	4:産まれたのである
3:四疋	4:産まれたのである
4:産まれたのである	-1:産まれたのである

0:ところが	12:来たそうだ
1:そこの	2:家の
2:家の	3:書生が
3:書生が	12:来たそうだ
4:三日目に	8:持って
5:そいつを	8:持って
6:裏の	7:池へ
7:池へ	8:持って
8:持って	12:来たそうだ
9:行って	11:棄てて
10:四疋ながら	11:棄てて
11:棄てて	12:来たそうだ
12:来たそうだ	-1:来たそうだ

0:白君は	20:いわれた
1:涙を	2:流して
2:流して	5:話した
3:その	4:一部始終を
4:一部始終を	5:話した
5:話した	6:上
6:上	19:剿滅せねばならぬと
7:どうしても	15:するには
8:我等猫族が	15:するには
9:親子の	10:愛を
10:愛を	15:するには
11:完	12:くして
12:くして	13:美しい
13:美しい	14:家族的生活を
14:家族的生活を	15:するには
15:するには	19:剿滅せねばならぬと
16:人間と	17:戦って
17:戦って	19:剿滅せねばならぬと
18:これを	19:剿滅せねばならぬと
19:剿滅せねばならぬと	20:いわれた
20:いわれた	-1:いわれた

0:一々	3:思う
1:もっともの	2:議論と
2:議論と	3:思う
3:思う	-1:思う

0:また	9:憤慨している
1:隣りの	2:三毛君などは
2:三毛君などは	6:解していないと
