

16:質問は	20:呈出した
17:不思議にも	20:呈出した
19:結果を	20:呈出した
20:呈出した	20:呈出した

0:彼は	3:いう
1:喟然として	2:大息して
2:大息して	3:いう

0:考げえると	1:つまらねえ

2:鼠を	3:とったって
5:一てえ	7:ふてえ
6:人間ほど	7:ふてえ
8:奴は	10:いねえぜ
9:世の中に	10:いねえぜ

0:人の	1:とった
2:鼠を	4:取り上げやがって
3:みんな	4:取り上げやがって
5:交番へ	6:持って行きゃ

0:交番じゃ	2:捕ったか
1:誰が	2:捕ったか
5:たんびに	7:くれるじゃねえか
6:五銭ずつ	7:くれるじゃねえか

1:亭主なんか	6:儲けて
3:御蔭で	6:儲けて
5:壱円五十銭くらい	6:儲けて
8:癖に	10:食わせた
9:碌なものを	10:食わせた
11:事も	12:ありゃしねえ

3:泥棒だぜさすが	9:わかると
5:黒も	9:わかると
8:理窟は	9:わかると
13:容子で	16:逆立てている
15:毛を	16:逆立てている

0:吾輩は	9:帰った
4:加減に	7:胡魔化して
6:場を	7:胡魔化して
7:胡魔化して	9:帰った
8:家へ	9:帰った

1:時から	6:決心した
2:吾輩は	5:とるまいと
4:鼠を	5:とるまいと
6:決心した	6:決心した

2:子分に	3:なって
5:御馳走を	7:あるく
6:猟って	7:あるく
8:事も	9:しなかった

0:御馳走を	1:食うよりも

1:家に	2:いると
5:性質に	6:なると

0:要心しないと	3:なるかも知れない
2:胃弱に	3:なるかも知れない

0:教師と	1:いえば
3:主人も	5:至っては
4:近頃に	5:至っては
7:水彩画において	11:悟った
10:事を	11:悟った
12:ものと	13:見えて
16:日記に	19:かきつけた
18:事を	19:かきつけた

2:人に	5:始めて
4:会で	5:始めて

1:人は	10:している
2:大分放蕩を	3:した
4:人だと	5:云うが
9:風采を	10:している

4:女に	5:好かれる
6:ものだからが	8:したと
7:放蕩を	8:したと
10:放蕩を	11:するべく

0:元来放蕩家を	2:いう
5:放蕩を	6:する

1:放蕩家をもって	2:自任する

0:これらは	1:余儀なくされないのに
2:無理に	3:進んでやるのである
3:進んでやるのである	3:進んでやるのである

2:水彩画に	3:於けるがごとき
4:もので	6:卒業する
6:卒業する	7:気づかいは

3:通人だと	4:思って

1:酒を	2:飲んだり
3:待合へ	4:這入るから
5:通人と	6:なり得るという
7:論が	8:立つなら
9:吾輩も	12:なり得る
11:水彩画家に	12:なり得る

0:通人論は	2:首肯しかねる
2:首肯しかねる	2:首肯しかねる

2:妻君を	3:羨しいなどという
6:口に	7:すべからざる

0:主人は	8:抜けない
1:かくのごとく	3:明あるにも
2:自知の	3:明あるにも
3:明あるにも	4:関せず
4:関せず	8:抜けない
6:自惚心は	8:抜けない

0:中二日	1:置いて
4:日記に	7:書いている
6:事を	7:書いている

0:昨夜は	6:ならんと
1:僕が	3:かいて
2:水彩画を	3:かいて
5:物に	6:ならんと
8:そこらに	9:抛って
10:置いたのを	14:して
11:誰かが	14:して
13:額に	14:して
